"Year","Month","MonitoringLocation","SampleDate","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","WTEMP","Lat_Env","Long_Env","oysteryear"
1990,"Jan","ET4.2",1990-01-09,9.85,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,0.8,"38.596419999999995",-76.12821,1990
1990,"Jan","ET4.2",1990-01-09,9.85,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,0.8,"38.596419999999995",-76.12821,1990
1990,"Jan","ET5.2",1990-01-10,9.53,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1.6,"38.395020000000002",-76.11291,1990
1990,"Jul","CB3.2",1990-07-18,3.18,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,24.9,"39.083970000000001",-76.18145,1990
1990,"Jul","EE2.2",1990-07-17,11.08,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,27,"38.319420000000001",-76.14587,1990
1990,"Jul","EE3.0",1990-07-19,11.61,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,28,"38.165320000000001",-76.00854,1990
1990,"Jul","EE3.0",1990-07-19,11.61,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,28,"38.165320000000001",-76.00854,1990
1990,"Jul","EE3.1",1990-07-19,12.26,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,27.5,"38.071159999999999",-76.04566,1990
1990,"Jul","EE3.1",1990-07-19,12.26,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,27.5,"38.071159999999999",-76.04566,1990
1990,"Jul","EE3.1",1990-07-19,12.26,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,27.5,"38.071159999999999",-76.04566,1990
1990,"Jul","ET4.2",1990-07-18,8.31,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,26.3,"38.596419999999995",-76.12821,1990
1990,"Jul","ET4.2",1990-07-18,8.31,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,26.3,"38.596419999999995",-76.12821,1990
1990,"Jul","ET5.2",1990-07-17,7.05,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,26.8,"38.395020000000002",-76.11291,1990
1990,"Jun","CB3.2",1990-06-13,3.71,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,19.9,"39.083970000000001",-76.18145,1990
1990,"Jun","EE2.2",1990-06-12,9.78,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,21.5,"38.319420000000001",-76.14587,1990
1990,"Jun","EE3.0",1990-06-14,10.24,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,22.4,"38.165320000000001",-76.00854,1990
1990,"Jun","EE3.0",1990-06-14,10.24,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,22.4,"38.165320000000001",-76.00854,1990
1990,"Jun","EE3.1",1990-06-14,12.26,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,22.3,"38.071159999999999",-76.04566,1990
1990,"Jun","EE3.1",1990-06-14,12.26,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,22.3,"38.071159999999999",-76.04566,1990
1990,"Jun","EE3.1",1990-06-14,12.26,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,22.3,"38.071159999999999",-76.04566,1990
1990,"Jun","ET4.2",1990-06-13,6.06,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,21.5,"38.596419999999995",-76.12821,1990
1990,"Jun","ET4.2",1990-06-13,6.06,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,21.5,"38.596419999999995",-76.12821,1990
1990,"Jun","ET5.2",1990-06-12,6.04,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,22.3,"38.395020000000002",-76.11291,1990
1990,"Mar","CB3.2",1990-03-07,4.78,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,3.2,"39.083970000000001",-76.18145,1990
1990,"Mar","EE2.2",1990-03-06,11.21,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,4.8,"38.319420000000001",-76.14587,1990
1990,"Mar","EE3.0",1990-03-08,11.61,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,5.2,"38.165320000000001",-76.00854,1990
1990,"Mar","EE3.0",1990-03-08,11.61,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,5.2,"38.165320000000001",-76.00854,1990
1990,"Mar","EE3.1",1990-03-08,12.4,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,5.2,"38.071159999999999",-76.04566,1990
1990,"Mar","EE3.1",1990-03-08,12.4,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,5.2,"38.071159999999999",-76.04566,1990
1990,"Mar","EE3.1",1990-03-08,12.4,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,5.2,"38.071159999999999",-76.04566,1990
1990,"Mar","ET4.2",1990-03-07,6.48,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,4.2,"38.596419999999995",-76.12821,1990
1990,"Mar","ET4.2",1990-03-07,6.48,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,4.2,"38.596419999999995",-76.12821,1990
1990,"Mar","ET5.2",1990-03-06,8.38,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,5.4,"38.395020000000002",-76.11291,1990
1990,"May","CB3.2",1990-05-16,1.12,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,17.4,"39.083970000000001",-76.18145,1990
1990,"May","EE2.2",1990-05-15,10.56,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,17.8,"38.319420000000001",-76.14587,1990
1990,"May","EE3.0",1990-05-17,10.5,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,20.5,"38.165320000000001",-76.00854,1990
1990,"May","EE3.0",1990-05-17,10.5,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,20.5,"38.165320000000001",-76.00854,1990
1990,"May","EE3.1",1990-05-17,12.93,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,19.2,"38.071159999999999",-76.04566,1990
1990,"May","EE3.1",1990-05-17,12.93,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,19.2,"38.071159999999999",-76.04566,1990
1990,"May","EE3.1",1990-05-17,12.93,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,19.2,"38.071159999999999",-76.04566,1990
1990,"May","ET4.2",1990-05-16,8.15,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,17.6,"38.596419999999995",-76.12821,1990
1990,"May","ET4.2",1990-05-16,8.15,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,17.6,"38.596419999999995",-76.12821,1990
1990,"May","ET5.2",1990-05-15,6.8,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,18.2,"38.395020000000002",-76.11291,1990
1990,"Nov","CB3.2",1990-11-13,2.65,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,9.8,"39.083970000000001",-76.18145,1991
1990,"Nov","EE2.2",1990-11-14,12.07,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,9.1,"38.319420000000001",-76.14587,1991
1990,"Nov","EE3.0",1990-11-07,15.14,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,13.6,"38.165320000000001",-76.00854,1991
1990,"Nov","EE3.0",1990-11-07,15.14,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,13.6,"38.165320000000001",-76.00854,1991
1990,"Nov","EE3.1",1990-11-07,15.81,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,14,"38.071159999999999",-76.04566,1991
1990,"Nov","EE3.1",1990-11-07,15.81,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,14,"38.071159999999999",-76.04566,1991
1990,"Nov","EE3.1",1990-11-07,15.81,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,14,"38.071159999999999",-76.04566,1991
1990,"Nov","ET4.2",1990-11-14,6.63,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,8.4,"38.596419999999995",-76.12821,1991
1990,"Nov","ET4.2",1990-11-14,6.63,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,8.4,"38.596419999999995",-76.12821,1991
1990,"Nov","ET5.2",1990-11-15,11.54,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,9,"38.395020000000002",-76.11291,1991
1990,"Oct","CB3.2",1990-10-17,5.69,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,20.4,"39.083970000000001",-76.18145,1990
1990,"Oct","EE2.2",1990-10-16,15.34,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,21.7,"38.319420000000001",-76.14587,1990
1990,"Oct","EE3.0",1990-10-18,15,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,21.1,"38.165320000000001",-76.00854,1990
1990,"Oct","EE3.0",1990-10-18,15,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,21.1,"38.165320000000001",-76.00854,1990
1990,"Oct","EE3.1",1990-10-18,15.88,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,21.5,"38.071159999999999",-76.04566,1990
1990,"Oct","EE3.1",1990-10-18,15.88,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,21.5,"38.071159999999999",-76.04566,1990
1990,"Oct","EE3.1",1990-10-18,15.88,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,21.5,"38.071159999999999",-76.04566,1990
1990,"Oct","ET4.2",1990-10-17,11.54,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,20.6,"38.596419999999995",-76.12821,1990
1990,"Oct","ET4.2",1990-10-17,11.54,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,20.6,"38.596419999999995",-76.12821,1990
1990,"Oct","ET5.2",1990-10-16,11.67,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,21.9,"38.395020000000002",-76.11291,1990
1990,"Sep","CB3.2",1990-09-12,8.5,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,24.5,"39.083970000000001",-76.18145,1990
1990,"Sep","EE2.2",1990-09-11,13.59,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,24.8,"38.319420000000001",-76.14587,1990
1990,"Sep","EE3.0",1990-09-13,14.06,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,24.9,"38.165320000000001",-76.00854,1990
1990,"Sep","EE3.0",1990-09-13,14.06,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,24.9,"38.165320000000001",-76.00854,1990
1990,"Sep","EE3.1",1990-09-13,15.81,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,24.8,"38.071159999999999",-76.04566,1990
1990,"Sep","EE3.1",1990-09-13,15.81,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,24.8,"38.071159999999999",-76.04566,1990
1990,"Sep","EE3.1",1990-09-13,15.81,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,24.8,"38.071159999999999",-76.04566,1990
1990,"Sep","ET4.2",1990-09-12,10.56,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,25.3,"38.596419999999995",-76.12821,1990
1990,"Sep","ET4.2",1990-09-12,10.56,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,25.3,"38.596419999999995",-76.12821,1990
1990,"Sep","ET5.2",1990-09-11,10.37,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,25.1,"38.395020000000002",-76.11291,1990
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","CHESTER RIVER","OLD FIELD (S)",39.0843,-76.164883,"20",1.66666666666667,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","MILES RIVER","TURTLE BACK",38.851067,-76.236333,"100",2.91666666666667,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","EASTERN BAY","BUGBY",38.87535,-76.220267,"100",3.75,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","CHESTER RIVER","BUOY ROCK",38.994033,-76.213683,"80",2.8,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","UPPER BAY","SWAN POINT",39.13995,-76.302417,"27",2.525,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","WYE RIVER","BRUFFS ISLAND",38.860283,-76.194117,"83",3.62,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.2",1991-04-10,2.54,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"100",3.08333333333333,13.5,"39.083970000000001",-76.18145,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","CHOPTANK RIVER","COOK POINT (S)",38.65405,-76.2793,"23",0.857142857142857,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","LITTLE CHOPTANK RIVER","CASON (S)",38.53645,-76.289033,"100",3.88333333333333,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","BROAD CREEK","DEEP NECK",38.740517,-76.2449,"100",3.96153846153846,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","CHOPTANK RIVER","ROYSTON",38.686017,-76.241333,"100",4.06666666666667,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","MIDDLE BAY","HOLLAND POINT (S)",38.739367,-76.511667,"47",2.1,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","MIDDLE BAY","HOLLAND POINT (S)",38.739367,-76.511667,"47",3.57857142857143,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","CB3.3W",1991-04-09,7.43,"MD","October","HARRIS CREEK","TILGHMAN WHARF",38.704033,-76.315567,"97",3.03448275862069,13.4,"38.581240000000001",-76.25159,1991
1991,"Apr","EE2.2",1991-04-09,9.78,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.06666666666667,13.8,"38.319420000000001",-76.14587,1991
1991,"Apr","EE3.0",1991-04-11,9.08,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"100",2.96666666666667,15.3,"38.165320000000001",-76.00854,1991
1991,"Apr","EE3.0",1991-04-11,9.08,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"60",2,15.3,"38.165320000000001",-76.00854,1991
1991,"Apr","EE3.0",1991-04-11,9.08,"MD","October","CHOPTANK RIVER","OYSTER SHELL POINT",38.589233,-76.005517,"60",2.66666666666667,15.3,"38.165320000000001",-76.00854,1991
1991,"Apr","EE3.0",1991-04-11,9.08,"MD","October","ST. MARY'S RIVER","PAGAN (S)",38.1918,-76.443767,"97",2.70689655172414,15.3,"38.165320000000001",-76.00854,1991
1991,"Apr","EE3.1",1991-04-11,10.5,"MD","October","EASTERN BAY","HOLLICUT NOOSE",38.1186,-76.075933,"73",2.70454545454545,15.6,"38.071159999999999",-76.04566,1991
1991,"Apr","EE3.1",1991-04-11,10.5,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",3.8,15.6,"38.071159999999999",-76.04566,1991
1991,"Apr","EE3.1",1991-04-11,10.5,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.66666666666667,15.6,"38.071159999999999",-76.04566,1991
1991,"Apr","EE3.1",1991-04-11,10.5,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"93",3.32142857142857,15.6,"38.071159999999999",-76.04566,1991
1991,"Apr","ET4.2",1991-04-11,6.43,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.66666666666667,13.4,"38.596419999999995",-76.12821,1991
1991,"Apr","ET4.2",1991-04-11,6.43,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"97",3.44827586206897,13.4,"38.596419999999995",-76.12821,1991
